algo,no,precision,dm,cm,entropy,discern,ilm,acc
mondrian,85,0.4061122569938358,0.5775,0.2595945945945946,0.8282607284513948,0.0007151935719503287,0.045883517069701306,0.4945945945945946
datafly,86,0.03333333333333344,0.0625,0.3224324324324324,0.9690993036413612,0.4158735938641344,0.04635300497866286,0.5054054054054054
datafly_shuffled,86,0.04332882882882872,0.07,0.3983783783783784,0.9527197635101304,0.18311851716581445,0.04807480440967282,0.5054054054054054
mondrian,86,0.43988741474267795,0.665,0.19405405405405404,0.8088037214482644,0.00033623082542001464,0.04618664651493611,0.4945945945945946
datafly,87,0.01666666666666661,0.0225,0.35283783783783784,0.9811506584069138,0.5666932432432432,0.04791562944523471,0.5054054054054054
datafly_shuffled,87,0.06546846846846854,0.0875,0.3004054054054054,0.9078956264528616,0.030793243243243243,0.04617757823613086,0.652027027027027
mondrian,87,0.4404459824196666,0.655,0.20229729729729728,0.8077347051611136,0.00033349159970781585,0.04537219061166424,0.4945945945945946
datafly,88,0.033328828828828816,0.085,0.3867567567567568,0.9580185336091271,0.20133305332359386,0.04604811522048363,0.5466216216216216
datafly_shuffled,88,0.049986486486486514,0.13,0.3636486486486487,0.9148354576116708,0.039043718042366685,0.047686166429587465,0.6148648648648649
mondrian,88,0.391474103658314,0.5475,0.3121621621621621,0.8394529554682386,0.0011180423666910153,0.046411201991465166,0.4945945945945946
datafly,89,0.01666666666666661,0.03,0.4118918918918919,0.9898034895029384,0.8189401387874361,0.04823253911806543,0.5054054054054054
datafly_shuffled,89,0.03333333333333355,0.06,0.404054054054054,0.9395301524391819,0.08775712198685172,0.04834624822190612,0.5655405405405406
mondrian,89,0.4157315442973338,0.5775,0.25702702702702696,0.8203245740944677,0.0005258217677136597,0.04630810810810817,0.4945945945945946
datafly,90,0.042253378378378385,0.09,0.31513513513513514,0.9681116099155204,0.4305261139517896,0.04609628378378378,0.5054054054054054
datafly_shuffled,90,0.04245720720720714,0.0625,0.3832432432432433,0.9373004636081704,0.08052804967129291,0.04780215149359888,0.5790540540540541
mondrian,90,0.4320175073859285,0.6375,0.20405405405405405,0.8080022489890016,0.00033590211833455083,0.046613424608819336,0.4945945945945946
datafly,91,0.033333333333333215,0.0575,0.2864864864864865,0.9608094144151528,0.2808237764791819,0.04584583926031294,0.5054054054054054
datafly_shuffled,91,0.05000000000000016,0.0925,0.3308108108108108,0.9050457745594132,0.02216734842951059,0.04771173541963016,0.6222972972972973
mondrian,91,0.4328177316993106,0.6325,0.2158108108108108,0.8089480045171099,0.00033546384222059896,0.04610773470839275,0.4945945945945946
datafly,92,0.01666666666666661,0.035,0.425,0.9811241673473592,0.4884699415631848,0.048346194879089616,0.5054054054054054
datafly_shuffled,92,0.03333333333333344,0.0575,0.39864864864864863,0.9441237094628278,0.10927804967129293,0.04877528449502135,0.6148648648648649
mondrian,92,0.4193212514133563,0.615,0.22513513513513514,0.8202842185836895,0.0005205989773557342,0.046496550497866315,0.4945945945945946
datafly,93,0.033328828828828934,0.085,0.32175675675675675,0.9694335325368084,0.3857820672023375,0.046239082503556184,0.5054054054054054
datafly_shuffled,93,0.04198873873873876,0.0925,0.4336486486486487,0.9422663832095868,0.10379590942293647,0.04818662873399717,0.522972972972973
mondrian,93,0.4145826129773498,0.6075,0.26175675675675675,0.8213286608832008,0.0005276479181884588,0.0470421941678521,0.4945945945945946
datafly,94,0.03333333333333344,0.0625,0.3545945945945946,0.9693800742143116,0.3676900292184076,0.04630972617354195,0.5054054054054054
datafly_shuffled,94,0.033333333333333215,0.0575,0.3752702702702703,0.9486279341232806,0.13385157048940832,0.04821786984352775,0.5108108108108108
mondrian,94,0.4107357661305031,0.5825,0.2447297297297297,0.8283497680590601,0.0007116508400292184,0.046118225462304506,0.4945945945945946
datafly,95,0.033328828828828594,0.085,0.3295945945945946,0.9629618241582616,0.2961331628926224,0.046463869132290184,0.5054054054054054
datafly_shuffled,95,0.041829954954955006,0.0875,0.3495945945945946,0.953598740213701,0.17845661066471874,0.04876041963015647,0.5601351351351351
mondrian,95,0.4365047142283983,0.64,0.2181081081081081,0.8100248914598734,0.00033666910153396635,0.0465865576102418,0.4945945945945946
datafly,96,0.033324324324324306,0.0825,0.39972972972972975,0.9627893210319212,0.2700419649379109,0.04620616998577525,0.5054054054054054
datafly_shuffled,96,0.033333333333333215,0.055,0.39472972972972975,0.9398992635457998,0.09738736303871437,0.047763940256045516,0.5689189189189189
mondrian,96,0.3956168526826419,0.5475,0.28554054054054057,0.8387745611967516,0.0011134404674945217,0.04573730440967285,0.4945945945945946
datafly,97,0.033333333333333215,0.06,0.3766216216216216,0.963228295566074,0.24419317019722425,0.0462477240398293,0.6067567567567568
datafly_shuffled,97,0.04199774774774767,0.055,0.4324324324324325,0.9371938144597036,0.09111709276844412,0.0489724573257468,0.5148648648648648
mondrian,97,0.4080779443411025,0.5925,0.3005405405405405,0.8282078857388668,0.0007139517896274652,0.0465311522048364,0.4945945945945946
datafly,98,0.033328828828828934,0.0825,0.3398648648648649,0.96435642198664,0.3244580350620891,0.04609132290184922,0.5054054054054054
datafly_shuffled,98,0.03333333333333355,0.0625,0.3709459459459459,0.9431451758685084,0.12254638422205988,0.04808536628733998,0.6371621621621621
mondrian,98,0.4366484298063247,0.645,0.19864864864864865,0.8073772308241387,0.00033228634039444846,0.046508250355618765,0.4945945945945946
